NODE_ID,Jan_2019,Feb_2019,Mar_2019,Apr_2019,May_2019,Jun_2019,Jul_2019,Aug_2019,Sep_2019,Oct_2019,Nov_2019,Dec_2019,Jan_2020,Feb_2020,Mar_2020,Apr_2020,May_2020,Jun_2020,Jul_2020,Aug_2020,Sep_2020,Oct_2020,Nov_2020,Dec_2020,Jan_2021,Feb_2021,Mar_2021,Apr_2021,May_2021,Jun_2021,Jul_2021,Aug_2021,Sep_2021,Oct_2021,Nov_2021,Dec_2021,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022
FORTRSS_6_N001,,,,,,,,35.95161804,37.54723396,40.86161719,44.21614311,42.51296075,,,,,,,,,,,,,36.68380757,65.55928485,36.08996917,37.92413308,39.57086281,57.54544994,77.96216445,64.80616402,72.19664961,72.11023906,63.19786981,66.73680876,58.42630836,52.03575237,51.27265846,72.24975714,80.19818431,96.88873734,78.45988993,105.8798285,137.6046254,,,
FOSTERW_7_N001,,,,,,,,33.74784467,35.79879093,37.43260379,42.40021092,40.76736551,,,,,,,,,,,,,34.4076145,60.74147655,33.90650507,36.51778503,38.83695185,51.4050354,67.50306022,60.32597374,68.00865683,69.06229468,59.80503153,63.00243844,54.38058226,49.36678875,49.56775872,68.33350945,76.6244451,83.4297108,74.41919768,99.04504797,124.8464204,,,
FOSTERW_7_N004,,,,,,,,33.74784467,35.79879093,37.43260379,42.40021092,40.76736551,,,,,,,,,,,,,34.4076145,60.74147655,33.90650507,36.51778503,38.83695185,51.4050354,67.50306022,60.32597374,68.00865683,69.06229468,59.80503153,63.00243844,54.38058226,49.36678875,49.56775872,68.33350945,76.6244451,83.4297108,74.41919768,99.04504797,124.8464204,,,
FRANKLIN_6_N003,,,,,,,,35.99152129,36.78480467,38.18347902,43.26205804,41.61431399,,,,,,,,,,,,,35.30594237,62.47919179,34.72524525,37.30109042,41.57842903,53.30362796,69.25829917,63.81654531,70.64066147,70.43960681,61.1663585,66.15244587,58.73707258,73.50103564,55.01198035,72.02254578,80.04198054,90.23492319,77.49834546,102.8695154,128.7914209,,,
FREC_7_B1,,,,,,,,32.93832431,35.04588735,36.97384379,41.65162903,39.93064786,,,,,,,,,,,,,34.17589953,59.84801307,33.75093524,38.260601,41.65734101,57.16122469,74.96448626,66.03988224,68.78352543,71.30017368,59.1530928,61.92840831,53.32830588,48.93814022,46.56807525,66.51987955,72.3563299,78.10758812,88.23242389,121.5370788,162.3095482,,,
FREMNT_1_N001,,,,,,,,34.42440098,36.25501343,38.01926907,42.93345755,41.38368978,,,,,,,,,,,,,34.91118835,61.74173789,34.47202008,37.08346661,41.01360403,53.48033433,70.54305781,63.56985714,71.59447756,69.684693,61.07728331,64.36262171,55.49484193,50.4338878,50.4507484,70.11921855,78.19189243,85.21441595,78.10445072,102.4989189,130.3147021,,,
FREMNT_1_N007,,,,,,,,34.42440098,36.25501343,38.01926907,42.93345755,41.38368978,,,,,,,,,,,,,34.91118835,61.74173789,34.47202008,37.08346661,41.01360403,53.4795776,70.54305781,63.56985714,71.59447756,69.684693,61.07728331,64.36262171,55.49484193,50.4338878,50.4507484,70.11921855,78.19189243,85.21441595,78.10445072,102.4989189,130.3147021,,,
FREMNT_1_N013,,,,,,,,34.42440098,36.25501343,38.01926907,42.93345755,41.38368978,,,,,,,,,,,,,34.91046159,61.74173789,34.47202008,37.08346661,41.01360403,53.48033433,70.54305781,63.56985714,71.59447756,69.684693,61.07719716,64.36262171,55.49484193,50.4338878,50.4507484,70.11921855,78.19189243,85.21465164,78.10445072,102.4989189,130.3147021,,,
FRIANTDM_7_B1,,,,,,,,33.05316498,35.9744034,36.79883231,42.95275087,41.82739013,,,,,,,,,,,,,34.849452,61.64826808,33.64424712,35.99493988,34.96340078,56.75606372,80.58344671,74.00868469,73.56865788,63.09434853,59.84241786,63.35534047,54.23138371,48.26974113,47.28287517,57.99784345,61.13723229,77.21935516,82.83265258,122.7019868,148.9272063,,,
FRIARS_1_N001,,,,,,,,,,,,,,,,,,,,,,,,,33.3834311,67.98815638,30.17136171,23.96439375,27.17521629,48.34121683,67.86781579,56.5793895,69.68771701,57.691742,59.02011967,70.36102902,53.30462379,44.50452818,28.22571247,23.7118806,57.71147064,68.93743253,73.14240646,106.1757101,128.2577832,,,
FRIARS_1_N009,,,,,,,,,,,,,,,,,,,,,,,,,33.3834311,67.98815638,30.17136171,23.96439375,27.17521629,48.34121683,67.86781579,56.5793895,69.68771701,57.691742,59.02011967,70.36102902,53.30462379,44.50452818,28.22571247,23.7118806,57.71147064,68.93743253,73.14240646,106.1757101,128.2577832,,,
FRNCHGLH_6_N001,,,,,,,,,,,,,,,,,,,,,,,,,33.75842593,59.71250199,32.50648981,37.30840382,38.00578101,50.69849536,64.99637258,59.57423559,66.28822097,67.39666837,60.075408,61.35522044,51.49493804,46.74865397,45.53902666,65.72586687,69.59216649,72.04667039,71.39915968,98.93468958,121.7067407,,,
FRNCHMD_7_B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.18030289,48.74184318,47.16091171,66.97249944,71.34306481,72.84053216,68.2389564,93.48073994,121.1732585,,,
FROGTOWN_7_N001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.16134086,46.67465357,47.20943076,62.4657569,57.60528786,75.91467983,74.23545571,111.8829056,133.4587209,,,
FRTSWRD_6_N001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.34405176,52.67823085,53.74768223,69.03484789,74.06768006,71.93471016,74.63744917,103.0243295,133.3552263,,,
FRTSWRD_6_N004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.34405176,52.67823085,53.74768223,69.03484789,74.06768006,71.93471016,74.63744917,103.0243295,133.3552263,,,
FRUITLND_6_N001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.46873589,52.24589299,53.25798047,68.31650168,73.73701169,71.64921069,74.3122714,101.6785119,131.4564685,,,
FRUITVLE_6_N001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.35575933,42.81116804,41.95978399,57.30934624,62.1128349,77.15708569,74.00538665,100.9771793,124.1253942,,,
FRUITVLE_6_N101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.35575933,42.81116804,41.95978399,57.30934624,62.1128349,77.15708569,74.00538665,100.9771793,124.1253942,,,
