NODE_ID,month_year,MW
ALAMITOS_2_N001,Feb-20,28.31492616
ALAMITOS_2_N001,Mar-20,26.27220718
ALAMITOS_2_N001,Apr-20,19.92185276
ALAMITOS_2_N001,May-20,18.93279383
ALAMITOS_2_N001,Jun-20,23.63701993
ALAMITOS_2_N001,Jul-20,29.32754626
ALAMITOS_2_N001,Aug-20,80.53636811
ALAMITOS_2_N001,Sep-20,47.72466789
ALAMITOS_2_N001,Oct-20,46.16925378
ALAMITOS_2_N001,Nov-20,38.83046805
ALAMITOS_2_N001,Dec-20,41.97783274
ALAMITOS_2_N001,Jan-21,33.31195021
ALAMITOS_2_N001,Feb-21,66.59173463
ALAMITOS_2_N001,Mar-21,32.22273783
ALAMITOS_2_N001,Apr-21,31.44355353
ALAMITOS_2_N001,May-21,29.44930987
ALAMITOS_2_N001,Jun-21,51.12806775
ALAMITOS_2_N001,Jul-21,69.6564419
ALAMITOS_2_N001,Aug-21,61.05633935
ALAMITOS_2_N001,Sep-21,69.47892424
ALAMITOS_2_N001,Oct-21,58.06346879
ALAMITOS_2_N001,Nov-21,57.87504502
ALAMITOS_2_N001,Dec-21,62.2062429
ALAMITOS_2_N040,Aug-19,36.53972847
ALAMITOS_2_N040,Sep-19,41.69743504
ALAMITOS_2_N040,Oct-19,39.07679665
ALAMITOS_2_N040,Nov-19,44.81623791
ALAMITOS_2_N040,Dec-19,42.61891254
ALAMITOS_2_N040,Jan-20,36.60952868
ALAMITOS_2_N040,Feb-20,28.31492616
ALAMITOS_2_N040,Mar-20,26.27220718
ALAMITOS_2_N040,Apr-20,19.92185276
ALAMITOS_2_N040,May-20,18.93279383
ALAMITOS_2_N040,Jun-20,23.63701993
ALAMITOS_2_N040,Jul-20,29.32754626
ALAMITOS_2_N040,Aug-20,80.53636811
ALAMITOS_2_N040,Sep-20,47.72466789
ALAMITOS_2_N040,Oct-20,46.16925378
ALAMITOS_2_N040,Nov-20,38.83046805
ALAMITOS_2_N040,Dec-20,41.97783274
ALAMITOS_2_N040,Jan-21,33.31195021
ALAMITOS_2_N040,Feb-21,66.59173463
ALAMITOS_2_N040,Mar-21,32.22273783
ALAMITOS_2_N040,Apr-21,31.44355353
ALAMITOS_2_N040,May-21,29.44930987
ALAMITOS_2_N040,Jun-21,51.12806775
ALAMITOS_2_N040,Jul-21,69.6564419
ALAMITOS_2_N040,Aug-21,61.05633935
ALAMITOS_2_N040,Sep-21,69.47892424
ALAMITOS_2_N040,Oct-21,58.06346879
ALAMITOS_2_N040,Nov-21,57.87504502
ALAMITOS_2_N040,Dec-21,62.2062429
ALAMOSC_7_N001,Aug-19,31.99166824
ALAMOSC_7_N001,Sep-19,35.78297567
ALAMOSC_7_N001,Oct-19,34.90382445
ALAMOSC_7_N001,Nov-19,44.80252523
ALAMOSC_7_N001,Dec-19,38.731583
ALAMOSC_7_N001,Jan-20,29.41681383
ALAMOSC_7_N001,Feb-20,25.30913838
ALAMOSC_7_N001,Mar-20,25.66588288
ALAMOSC_7_N001,Apr-20,18.59805866
ALAMOSC_7_N001,May-20,17.04460953
ALAMOSC_7_N001,Jun-20,22.34480188
ALAMOSC_7_N001,Jul-20,27.75144906
ALAMOSC_7_N001,Aug-20,77.14175583
ALAMOSC_7_N001,Sep-20,45.30030714
ALAMOSC_7_N001,Oct-20,44.02521607
ALAMOSC_7_N001,Nov-20,38.3237989
ALAMOSC_7_N001,Dec-20,38.54439194
ALAMOSC_7_N001,Jan-21,31.55014157
ALAMOSC_7_N001,Feb-21,65.51417475
ALAMOSC_7_N001,Mar-21,32.38809384
ALAMOSC_7_N001,Apr-21,30.93989313
ALAMOSC_7_N001,May-21,28.35657685
ALAMOSC_7_N001,Jun-21,50.07878796
ALAMOSC_7_N001,Jul-21,67.96993335
ALAMOSC_7_N001,Aug-21,59.03906824
ALAMOSC_7_N001,Sep-21,66.57321601
ALAMOSC_7_N001,Oct-21,56.53268246
ALAMOSC_7_N001,Nov-21,56.76110559
ALAMOSC_7_N001,Dec-21,60.2454852
ALAMT1G_7_B1,Aug-19,36.53945142
ALAMT1G_7_B1,Sep-19,41.69735967
ALAMT1G_7_B1,Oct-19,39.07686103
ALAMT1G_7_B1,Nov-19,44.81637197
ALAMT1G_7_B1,Dec-19,42.6188775
ALAMT1G_7_B1,Jan-20,36.60952868
ALAMT1G_7_B1,Feb-20,28.31492616
ALAMT1G_7_B1,Mar-20,26.27220718
ALAMT1G_7_B1,Apr-20,19.92185276
ALAMT1G_7_B1,May-20,18.93279383
ALAMT1G_7_B1,Jun-20,23.63701993
ALAMT1G_7_B1,Jul-20,29.32754626
ALAMT1G_7_B1,Aug-20,80.53636811
ALAMT1G_7_B1,Sep-20,47.72466789
ALAMT1G_7_B1,Oct-20,46.16925378
ALAMT1G_7_B1,Nov-20,38.83046805
ALAMT1G_7_B1,Dec-20,41.97783274
ALAMT1G_7_B1,Jan-21,33.31195021
ALAMT1G_7_B1,Feb-21,66.59173463
ALAMT1G_7_B1,Mar-21,32.22273783
ALAMT1G_7_B1,Apr-21,31.44355353
ALAMT1G_7_B1,May-21,29.44930987
ALAMT1G_7_B1,Jun-21,51.12806775
ALAMT1G_7_B1,Jul-21,69.6564419
ALAMT1G_7_B1,Aug-21,61.05633935
ALAMT1G_7_B1,Sep-21,69.47892424
ALAMT1G_7_B1,Oct-21,58.06346879
ALAMT1G_7_B1,Nov-21,57.87504502
ALAMT1G_7_B1,Dec-21,62.2062429
ALAMT1G_7_N002,Aug-19,36.53945142
ALAMT1G_7_N002,Sep-19,41.69735967
ALAMT1G_7_N002,Oct-19,39.07686103
ALAMT1G_7_N002,Nov-19,44.81637197
ALAMT1G_7_N002,Dec-19,42.6188775
ALAMT1G_7_N002,Jan-20,36.60952868
ALAMT1G_7_N002,Feb-20,28.31492616
ALAMT1G_7_N002,Mar-20,26.27254458
ALAMT1G_7_N002,Apr-20,19.92408036
ALAMT1G_7_N002,May-20,18.93279383
ALAMT1G_7_N002,Jun-20,23.63701993
ALAMT1G_7_N002,Jul-20,29.32754626
ALAMT1G_7_N002,Aug-20,80.53636811
ALAMT1G_7_N002,Sep-20,47.72466789
ALAMT1G_7_N002,Oct-20,46.16925378
ALAMT1G_7_N002,Nov-20,38.83046805
ALAMT1G_7_N002,Dec-20,41.97783274
ALAMT1G_7_N002,Jan-21,33.31195021
ALAMT1G_7_N002,Feb-21,66.59173463
ALAMT1G_7_N002,Mar-21,32.22273783
ALAMT1G_7_N002,Apr-21,31.44355353
ALAMT1G_7_N002,May-21,29.44930987
ALAMT1G_7_N002,Jun-21,51.12806775
ALAMT1G_7_N002,Jul-21,69.6564419
ALAMT1G_7_N002,Aug-21,61.05633935
ALAMT1G_7_N002,Sep-21,69.47892424
ALAMT1G_7_N002,Oct-21,58.06346879
ALAMT1G_7_N002,Nov-21,57.87504502
ALAMT1G_7_N002,Dec-21,62.2062429
ALAMT2G_7_B1,Aug-19,36.53944537
ALAMT2G_7_B1,Sep-19,41.69682643
ALAMT2G_7_B1,Oct-19,39.0766498
ALAMT2G_7_B1,Nov-19,44.81618017
ALAMT2G_7_B1,Dec-19,42.61879792
ALAMT2G_7_B1,Jan-20,36.60952868
ALAMT2G_7_B1,Feb-20,28.31492616
ALAMT2G_7_B1,Mar-20,26.27254458
ALAMT2G_7_B1,Apr-20,19.92408036
ALAMT2G_7_B1,May-20,18.93279383
ALAMT2G_7_B1,Jun-20,23.63701993
ALAMT2G_7_B1,Jul-20,29.32754626
ALAMT2G_7_B1,Aug-20,80.53636811
ALAMT2G_7_B1,Sep-20,47.72466789
ALAMT2G_7_B1,Oct-20,46.16925378
ALAMT2G_7_B1,Nov-20,38.83046805
ALAMT2G_7_B1,Dec-20,41.97783274
ALAMT2G_7_B1,Jan-21,33.31195021
ALAMT2G_7_B1,Feb-21,66.59173463
ALAMT2G_7_B1,Mar-21,32.22273783
ALAMT2G_7_B1,Apr-21,31.44355353
ALAMT2G_7_B1,May-21,29.44930987
ALAMT2G_7_B1,Jun-21,51.12806775
ALAMT2G_7_B1,Jul-21,69.6564419
ALAMT2G_7_B1,Aug-21,61.05633935
ALAMT2G_7_B1,Sep-21,69.47892424
ALAMT2G_7_B1,Oct-21,58.06346879
ALAMT2G_7_B1,Nov-21,57.87504502
ALAMT2G_7_B1,Dec-21,62.2062429
ALAMT2G_7_B1,Mar-22,42.85727849
ALAMT2G_7_B1,Apr-22,60.01186672
ALAMT2G_7_B1,May-22,64.90180982
ALAMT2G_7_B1,Jun-22,70.91598629
ALAMT2G_7_B1,Jul-22,75.78208861
ALAMT2G_7_B1,Aug-22,106.7980869
