OID_,AREA,NODE_ID,TYPE
279,CA,CARBONA_6_N101,LOAD
280,CA,CARLOTTA_6_N001,LOAD
281,CA,CARLOTTA_6_N003,LOAD
282,CA,CARLTNHS_1_N001,LOAD
283,CA,CARLTNHS_1_N004,LOAD
284,CA,CARLTNHS_1_N011,GEN
285,CA,CARLTNHS_1_N012,GEN
286,CA,CARNATIO_6_N001,LOAD
287,CA,CARNERAS_6_N001,LOAD
288,CA,CAROLNDS_6_N001,LOAD
289,CA,CAROLNDS_6_N002,LOAD
290,CA,CARQUINZ_1_N001,LOAD
291,CA,CARQUINZ_1_N002,LOAD
292,CA,CARRIZO_1_N001,LOAD
293,CA,CARTWRT_1_N001,LOAD
294,CA,CARTWRT_1_N010,LOAD
295,CA,CARUTHRS_6_N001,LOAD
296,CA,CASTROVL_2_N001,LOAD
297,CA,CASTROVL_2_N003,LOAD
298,CA,CASTROVL_2_N006,LOAD
299,CA,CASTROVL_2_N009,GEN
300,CA,CATALGEN_7_N001,GEN
301,CA,CATALYST_7_N001,LOAD
302,CA,CATALYST_7_N002,GEN
303,CA,CATLETT_6_N001,LOAD
304,CA,CAVLSRGN_7_B1,GEN
305,CA,CAWELOB_6_N001,LOAD
306,CA,CAWELOC_1_N001,LOAD
307,CA,CAYUCOS_6_N001,LOAD
308,CA,CAYUCOS_6_N006,LOAD
309,CA,CCOS6_7_B1,GEN
310,CA,CCOS7_7_B1,GEN
311,CA,CCOSTA_2_N001,LOAD
312,CA,CCSUB_1_N001,LOAD
313,CA,CCSUB_2_N001,LOAD
314,CA,CCSUB_2_N010,LOAD
315,CA,CCSUB_6_N024,GEN
316,PACW,CEDARVIL_LNODED1,LOAD
317,CA,CEDRCRK_6_N001,GEN
318,CA,CEDRCRK_6_N101,LOAD
319,CA,CENTERS_6_N001,LOAD
320,CA,CENTERS_6_N004,GEN
321,CA,CENTERS_6_N200,LOAD
322,CA,CERTTEED_1_N001,LOAD
323,CA,CERTTEED_1_N002,LOAD
324,CA,CHALKCLF_7_N001,GEN
325,CA,CHALLNGE_6_N001,LOAD
326,CA,CHANNEL_6_N001,LOAD
327,CA,CHARKA_1_N001,LOAD
328,CA,CHCARITA_1_N001,LOAD
329,CA,CHCARITA_1_N004,LOAD
330,CA,CHCARITA_1_N008,LOAD
331,CA,CHCARITA_1_N012,GEN
332,CA,CHENY_1_N001,LOAD
333,CA,CHEROKEE_6_N001,LOAD
334,CA,CHESTER_6_N001,LOAD
335,CA,CHEVGEN1_7_B1,GEN
336,CA,CHEVGEN2_7_B1,GEN
337,CA,CHEVMAIN_6_N004,GEN
338,CA,CHICOA_6_N001,LOAD
339,CA,CHICOA_6_N010,LOAD
340,CA,CHICOB_1_N001,LOAD
341,CA,CHICOB_1_N002,LOAD
342,CA,CHINO_6_N003,GEN
343,CA,CHINO_6_N007,LOAD
344,CA,CHINO_6_N008,LOAD
345,CA,CHINO_6_N009,GEN
346,CA,CHINO_6_N020,GEN
347,CA,CHIPARK_7_B1,GEN
348,CA,CHLDHOSP_1_N001,LOAD
349,CA,CHOLLAS_6_N001,LOAD
350,CA,CHOLLAS_6_N008,LOAD
351,CA,CHOLLAS_6_N009,LOAD
352,CA,CHOWCOGN_7_N001,GEN
353,CA,CHSTN_1_N001,LOAD
354,CA,CHWCHLA2_7_N001,GEN
355,CA,CHWCHLLA_1_N001,LOAD
356,CA,CHWCHLLA_1_N002,LOAD
357,CA,CICCOGN_7_N001,LOAD
358,CA,CICCOGN_7_N002,GEN
359,CA,CIMA_2_N101,LOAD
360,CA,CIMGEN_7_B1,GEN
361,CA,CITYUKH_1_B1,LOAD
362,CA,CITYUKH_1_N001,GEN
363,CA,CLAIRMNT_6_N001,LOAD
364,CA,CLAIRMNT_6_N008,LOAD
365,CA,CLAMMNA_1_N001,LOAD
366,CA,CLARKRD_7_N001,LOAD
367,CA,CLARKRD_7_N002,GEN
368,CA,CLARKRD_7_N003,GEN
369,CA,CLARMNT_1_N001,LOAD
370,CA,CLARMNT_1_N028,GEN
371,CA,CLAYTN_1_N001,LOAD
372,CA,CLAYTN_1_N004,LOAD
373,CA,CLAYTN_1_N029,LOAD
374,CA,CLAYTN_1_N030,LOAD
375,CA,CLAY_6_N001,LOAD
376,CA,CLEARGEN_6_N004,GEN
377,PACW,CLEARLAO_LNODE44,LOAD
378,CA,CLERLKE_6_N001,LOAD
379,CA,CLERLKE_6_N012,LOAD
380,CA,CLMBAHL_6_N001,LOAD
381,CA,CLOVIS_1_N001,LOAD
382,CA,CLOVIS_1_N004,LOAD
383,CA,CLOVIS_1_N101,LOAD
384,CA,CLOVRDLE_1_N001,LOAD
385,CA,CLRKSVLE_1_N001,LOAD
386,CA,CLRKSVLE_1_N003,LOAD
387,CA,CLRKSVLE_1_N004,LOAD
388,CA,CLSAJCT_6_N001,LOAD
389,CA,CMPEVRS_1_N001,LOAD
390,CA,CMPEVRS_1_N002,LOAD
391,CA,CNTRYCB_6_N001,LOAD
392,CA,CNTRYCB_6_N002,LOAD
393,CA,CNTRYCB_6_N004,LOAD
394,CA,CNTRYCB_6_N006,LOAD
395,CA,COGNTNL_7_B1,GEN
396,CA,COLGATE1_7_B1,GEN
397,CA,COLGATE2_7_B1,GEN
398,CA,COLLRVL1_7_B1,GEN
399,CA,COLLRVL2_7_B1,GEN
400,CA,COLNGA1_6_N001,LOAD
401,CA,COLNGA1_6_N002,LOAD
402,CA,COLNGA2_6_N001,LOAD
403,CA,COLNGAGN_7_B1,GEN
404,CA,COLONY_6_N001,LOAD
405,CA,COLUMBUS_1_N001,LOAD
406,CA,COLUMBUS_1_N003,LOAD
407,CA,COLUMBUS_1_N005,LOAD
408,CA,COLUSA_6_N001,LOAD
409,CA,COLUSA_6_N004,LOAD
410,CA,COLWATER_1_N001,LOAD
411,CA,COLWATER_1_N002,LOAD
412,CA,CONCHO_1_N002,LOAD
413,CA,CONTADNA_1_N001,LOAD
414,CA,CONTROLX_1_N001,LOAD
415,CA,CONTROLX_1_N002,GEN
416,CA,CONTROLX_1_N003,GEN
417,CA,CONTROLX_1_N004,GEN
418,CA,CONTROLX_1_N005,GEN
419,CA,CONTROLX_1_N008,GEN
420,CA,CONTROLX_1_N009,GEN
421,CA,CONTROLX_1_N010,GEN
422,CA,CONTROL_1_N034,GEN
423,CA,CONTROL_7_N001,LOAD
424,PACW,COPCO1_NODE1,GEN
425,PACW,COPCO1_NODE2,GEN
426,PACW,COPCO2_LNODE21,LOAD
427,PACW,COPCO2_NODE1,GEN
428,PACW,COPCO2_NODE2,GEN
429,CA,COPUS_6_N001,LOAD
430,CA,CORCORAN_1_N001,LOAD
431,CA,CORCORAN_1_N005,LOAD
432,CA,CORDELIA_6_N001,LOAD
433,CA,CORDPMP_6_N003,LOAD
434,CA,CORNING_6_N004,LOAD
435,CA,CORNING_6_N006,LOAD
436,CA,CORNING_6_N102,LOAD
